,beat,chord,chord_end
0,0.23823504,C:maj,2.002939
1,1.12058704,,
2,2.00293904,E:min/b3,3.767643
3,2.88529104,,
4,3.76764304,A:min,5.532347
5,4.64999504,,
6,5.53234704,G:maj,7.297051
7,6.41469904,,
8,7.297051039999999,F:maj,9.061755
9,8.179403039999999,,
10,9.06175504,G:maj,10.826459
11,9.94410704,,
12,10.82645904,F:maj,13.473515
13,11.70881104,,
14,12.59116304,,
15,13.47351504,G:maj,14.355867
16,14.35586704,C:maj,16.120571
17,15.23821904,,
18,16.12057104,G:maj,17.885275
19,17.002923040000002,,
20,17.88527504,A:min,19.649979
21,18.76762704,,
22,19.64997904,G:maj,21.414683
23,20.532331040000003,,
24,21.41468304,F:maj,23.179387
25,22.29703504,,
26,23.17938704,E:min,24.944091
27,24.061739040000003,,
28,24.94409104,D:min,25.826443
29,25.82644304,G:maj,28.473499
30,26.70879504,,
31,27.59114704,,
32,28.473499040000004,C:maj,32.002907
33,29.355851040000005,,
34,30.238203040000005,,
35,31.120555040000003,,
36,32.002907040000004,F:maj,35.532315
37,32.88525904,,
38,33.767611040000006,,
39,34.64996304,,
40,35.53231504000001,F:min,39.061723
41,36.414667040000005,,
42,37.29701904,,
43,38.17937104000001,,
44,39.06172304,C:sus2,40.826427
45,39.94407504,,
46,40.826427040000006,C:maj,42.591131
47,41.70877904,,
48,42.59113104000001,C:maj,46.120539
49,43.473483040000005,,
50,44.35583504,,
51,45.23818704000001,,
52,46.12053904,F:maj,49.649947
53,47.00289104,,
54,47.885243040000006,,
55,48.76759504,,
56,49.64994704000001,F:min,53.179355
57,50.532299040000005,,
58,51.41465104,,
59,52.29700304000001,,
60,53.17935504,C:sus2,54.944059
61,54.06170704,,
62,54.944059040000006,C:maj,56.708763
63,55.82641104,,
64,56.70876304,E:maj,60.238171
65,57.59111504,,
66,58.47346704,,
67,59.35581904,,
68,60.23817104,A:min,62.002875
69,61.12052304,,
70,62.00287504,A:min7/b7,63.767579
71,62.88522704,,
72,63.76757904,F:maj,65.532283
73,64.64993104,,
74,65.53228304,E:min,67.296987
75,66.41463504,,
76,67.29698704,D:min,69.061691
77,68.17933904,,
78,69.06169104,G:maj,70.826395
79,69.94404304,,
80,70.82639504,C:maj,72.591099
81,71.70874703999999,,
82,72.59109904,G:maj,74.355803
83,73.47345104,,
84,74.35580304,A:min,77.002859
85,75.23815504,,
86,76.12050703999999,,
87,77.00285904,C:7/5,77.885211
88,77.88521104,F:maj,79.649915
89,78.76756304,,
90,79.64991504,E:min,81.414619
91,80.53226704,,
92,81.41461904,D:min,83.179323
93,82.29697104,,
94,83.17932304,G:maj,84.944027
95,84.06167504,,
96,84.94402704,C:maj,86.708731
97,85.82637903999999,,
98,86.70873104,G:maj,88.473435
99,87.59108304,,
100,88.47343504,A:min,90.238139
101,89.35578704,,
102,90.23813904,A:min,91.120491
103,91.12049104,C:7/5,92.002843
104,92.00284304,F:maj,93.767547
105,92.88519504,,
106,93.76754704,E:min,95.532251
107,94.64989904,,
108,95.53225104,D:min,97.296955
109,96.41460304,,
110,97.29695504,G:maj,99.061659
111,98.17930704,,
112,99.06165904,C:maj,100.826363
113,99.94401104,,
114,100.82636304,G:maj6,102.591067
115,101.70871504,,
116,102.59106704,A:min,104.355771
117,103.47341904,,
118,104.35577104,G:maj,106.120475
119,105.23812304,,
120,106.12047504,F:maj,107.885179
121,107.00282704,,
122,107.88517904,E:min,109.649883
123,108.76753104,,
124,109.64988304,D:min,111.414587
125,110.53223504,,
126,111.41458704,G:maj,114.943995
127,112.29693904,,
128,113.17929104,,
129,114.06164304,,
130,114.94399504000002,C:maj,118.473403
131,115.82634704000002,,
132,116.70869904,,
133,117.59105104,,
134,118.47340304,F:maj,122.002811
135,119.35575504,,
136,120.23810704000002,,
137,121.12045904,,
138,122.00281104,F:min,125.532219
139,122.88516304,,
140,123.76751504,,
141,124.64986704000002,,
142,125.53221904000002,C:sus2,127.296923
143,126.41457104,,
144,127.29692304,C:maj,129.061627
145,128.17927504000002,,
146,129.06162704000002,C:maj,132.591035
147,129.94397904000002,,
148,130.82633104,,
149,131.70868304,,
150,132.59103504,F:maj,136.120443
151,133.47338704,,
152,134.35573904,,
153,135.23809104,,
154,136.12044304,F:min,139.649851
155,137.00279504000002,,
156,137.88514704000002,,
157,138.76749904000002,,
158,139.64985104000002,C:sus2,141.414555
159,140.53220304,,
160,141.41455504,C:maj,143.179259
161,142.29690704,,
162,143.17925904,E:maj,146.708667
163,144.06161104,,
164,144.94396304,,
165,145.82631504000005,,
166,146.70866704000002,A:min,148.473371
167,147.59101904000002,,
168,148.47337104000002,A:min7/b7,150.238075
169,149.35572304000002,,
170,150.23807504,F:maj,152.002779
171,151.12042704,,
172,152.00277904,E:min,153.767483
173,152.88513104,,
174,153.76748304,D:min,155.532187
175,154.64983504,,
176,155.53218704000005,G:maj,157.296891
177,156.41453904000002,,
178,157.29689104000002,C:maj,159.061595
179,158.17924304000002,,
180,159.06159504,G:maj,160.826299
181,159.94394704,,
182,160.82629904,A:min,163.473355
183,161.70865104,,
184,162.59100304,,
185,163.47335504,C:7/5,164.355707
186,164.35570704,F:maj,166.120411
187,165.23805904000002,,
188,166.12041104000002,E:min,167.885115
189,167.00276304000002,,
190,167.88511504000002,D:min,169.649819
191,168.76746704,,
192,169.64981904,G:maj,171.414523
193,170.53217104,,
194,171.41452304,C:maj,173.179227
195,172.29687504,,
196,173.17922704,G:maj,174.943931
197,174.06157904000003,,
198,174.94393104000002,A:min,177.590987
199,175.82628304000002,,
200,176.70863504000002,,
201,177.59098704000002,C:7/5,178.473339
202,178.47333904,F:maj,180.238043
203,179.35569104,,
204,180.23804304,E:min,182.002747
205,181.12039504,,
206,182.00274704,D:min,183.767451
207,182.88509904,,
208,183.76745104000003,G:maj,185.532155
209,184.64980304,,
210,185.53215504,F:maj,189.061563
211,186.41450704,,
212,187.29685904,,
213,188.17921104,,
214,189.06156304,E:min,192.590971
215,189.94391504,,
216,190.82626704,,
217,191.70861904,,
218,192.59097104,D:min,196.120379
219,193.47332304000005,,
220,194.35567504,,
221,195.23802704,,
222,196.12037904,C:maj,199.649787
223,197.00273104,,
224,197.88508304,,
225,198.76743504,,
226,199.64978704,F:maj,203.179195
227,200.53213904,,
228,201.41449104,,
229,202.29684304,,
230,203.17919504,E:min,205.826251
231,204.06154704,,
232,204.94389904,,
233,205.82625104,A:sus4(b7),206.708603
234,206.70860304,D:min,209.355659
235,207.59095504,,
236,208.47330704,,
237,209.35565904,C:maj,210.238011
238,210.23801104,Bb:maj,212.002715
239,211.12036304,,
240,212.00271504000003,G:maj,213.767419
241,212.88506704,,
242,213.76741904,A:maj,217.296827
243,214.64977104,,
244,215.53212304,,
245,216.41447504,,
246,217.29682704,D:maj,219.061531
247,218.17917904,,
248,219.06153104,A:maj,220.826235
249,219.94388304,,
250,220.82623504,B:min,223.473291
251,221.70858704000003,,
252,222.59093904,,
253,223.47329104,D:7/5,224.355643
254,224.35564304,G:maj,226.120347
255,225.23799504,,
256,226.12034704,F#:min,227.885051
257,227.00269904,,
258,227.88505104,E:min,229.649755
259,228.76740304,,
260,229.64975504,A:maj,231.414459
261,230.53210704,,
262,231.41445904,D:maj,233.179163
263,232.29681104,,
264,233.17916304,A:maj,234.943867
265,234.06151504,,
266,234.94386704,B:min7,236.708571
267,235.82621904,,
268,236.70857104,A:maj6,238.473275
269,237.59092304,,
270,238.47327504,G:maj,240.237979
271,239.35562704,,
272,240.23797904,F#:min,242.002683
273,241.12033104,,
274,242.00268304,E:min,243.767387
275,242.88503504,,
276,243.76738704,G:min,245.532091
277,244.64973904,,
278,245.53209103999995,D:maj,249.061499
279,246.41444303999995,,
280,247.29679503999995,,
281,248.17914703999995,,
282,249.06149904,B:min,250.826203
283,249.94385104,,
284,250.82620304,A:sus4,252.590907
285,251.70855504,,
286,252.59090704,E:min,254.355611
287,253.47325904,,
288,254.35561104,A:maj,257.885019
289,255.23796303999995,,
290,256.12031504,,
291,257.00266703999995,,
292,257.88501904,D:maj,259.649723
293,258.76737103999994,,
294,259.64972304,A:maj6,261.414427
295,260.53207503999994,,
296,261.41442704,B:min,263.179131
297,262.29677903999993,,
298,263.17913104,A:maj,264.943835
299,264.06148304,,
300,264.94383503999995,G:maj,266.708539
301,265.82618704,,
302,266.70853903999995,F#:min,268.473243
303,267.59089104,,
304,268.47324303999994,E:min,270.237947
