,start,end,pitch,velocity
0,3.5822314687500003,3.709424260416667,79.0,99.0
1,3.7138102187500004,3.841003010416667,81.0,72.0
2,3.8453889687500005,5.419948010416667,79.0,51.0
3,5.42433396875,5.551526760416667,79.0,78.0
4,5.55591271875,5.6831055104166674,81.0,78.0
5,5.68749146875,7.792983702083333,77.0,101.0
6,7.7974084687500005,7.925726702083334,75.0,95.0
7,7.93015146875,8.058469702083334,77.0,91.0
8,8.06289446875,9.592958610416666,75.0,60.0
9,9.59705696875,9.715909360416667,74.0,63.0
10,9.72000771875,9.838860110416666,72.0,73.0
11,9.84295846875,11.889968960416667,74.0,101.0
12,11.89424246875,12.023706685416668,72.0,99.0
13,12.02817096875,12.157635185416668,74.0,72.0
14,12.16209946875,12.827277685416668,72.0,75.0
15,12.83174196875,12.87192051875,65.0,67.0
16,12.876384802083335,12.961206185416668,67.0,61.0
17,12.965670468750002,13.764777185416667,72.0,75.0
18,13.769241468750002,13.898705685416667,70.0,95.0
19,13.903169968750001,14.032634185416669,69.0,67.0
20,14.037098468750001,14.399003502083334,72.0,79.0
21,14.522813118750001,14.85852765625,70.0,80.0
22,14.839480022916668,15.127575477083335,65.0,57.0
23,15.179956468750001,15.675194935416668,69.0,101.0
24,16.037099968750002,16.17519531041667,65.0,73.0
25,15.67995684375,16.17519531041667,67.0,80.0
26,16.17995721875,16.318052560416668,63.0,97.0
27,16.32281446875,17.897373510416667,62.0,88.0
28,17.90175946875,17.963162885416665,60.0,64.0
29,17.96754884375,18.09912759375,58.0,97.0
30,18.103513552083335,18.219741447916668,60.0,72.0
31,18.22412740625,18.29210976041667,62.0,67.0
32,18.296495718750002,18.348030729166666,60.0,64.0
33,18.3524166875,18.422592020833335,58.0,64.0
34,18.426977979166665,20.561409402083335,60.0,80.0
35,20.566171310416667,22.717103577083336,77.0,62.0
36,20.60664753125,22.762457435416668,81.0,80.0
37,20.73480811041667,22.833253702083336,89.0,67.0
38,20.654266614583335,22.837678468750003,84.0,63.0
39,36.64295046875,36.834321627083334,69.0,97.0
40,36.64295046875,36.854233077083336,77.0,76.0
41,37.04117946875,37.23033824375,75.0,88.0
42,37.04117946875,37.232550627083334,67.0,80.0
43,37.43940846875,37.569939085416664,74.0,88.0
44,37.43940846875,37.57215146875,65.0,93.0
45,37.70489446875,38.42502524375,62.0,95.0
46,37.70489446875,38.459317185416666,70.0,93.0
47,39.82878246875,41.73032594375,70.0,100.0
48,39.82878246875,41.73696309375,74.0,95.0
49,39.82878246875,41.76461788541667,77.0,98.0
50,44.07655846875,46.15066784375,70.0,98.0
51,44.07655846875,46.155092610416666,74.0,95.0
52,44.07655846875,46.17721644375,77.0,93.0
53,48.324334468749996,50.24468320208334,77.0,103.0
54,48.324334468749996,50.25132035208333,81.0,108.0
55,48.324334468749996,50.26348846041667,74.0,95.0
56,48.324334468749996,50.26680703541666,70.0,95.0
57,52.482122468750006,54.49870987708334,75.0,100.0
58,52.482122468750006,54.50313464375001,77.0,108.0
59,52.482122468750006,54.515302752083336,72.0,103.0
60,54.85385511458334,54.952992972916675,79.0,85.0
61,54.85277752916667,54.96053607083334,87.0,76.0
62,55.10601010208334,55.218078985416675,86.0,91.0
63,55.10277734583334,55.22023415625001,77.0,91.0
64,55.35816508958334,55.96807843541667,75.0,85.0
65,55.359242675000004,55.99501807083334,84.0,82.0
66,65.04126446875,66.88800313750001,70.0,77.0
67,67.12822046875,68.1162637,78.0,77.0
68,67.12930742500001,68.11735065625001,66.0,77.0
69,68.17169846875001,69.21517646875,81.0,77.0
70,68.172785425,69.21626342500001,69.0,77.0
71,69.21517646875,71.30213246875,79.0,77.0
72,69.21626342500001,71.30321942500001,67.0,77.0
73,72.34561046875001,72.86734946875,82.0,77.0
74,72.346697425,72.86843642500001,70.0,77.0
75,72.86734946875,73.38908846875,84.0,77.0
76,72.86843642500001,73.39017542500001,72.0,77.0
77,73.38908846875,75.44343578125,86.0,77.0
78,73.39017542500001,75.44452273750001,74.0,77.0
79,75.47604446875,76.51952246875001,81.0,77.0
80,75.47604446875,76.51952246875001,84.0,77.0
81,75.47713142500001,76.520609425,69.0,77.0
82,75.47713142500001,76.520609425,72.0,77.0
83,76.51952246875001,76.9184354125,82.0,77.0
84,76.520609425,76.91952236875001,70.0,77.0
85,77.04126146875001,77.53908743125001,81.0,77.0
86,77.042348425,77.5401743875,69.0,77.0
87,77.56300046875,78.75647843125,79.0,77.0
88,77.56408742500001,78.75756538750001,67.0,77.0
89,78.86734796875001,79.12821746875001,82.0,77.0
90,78.868434925,79.12930442500002,70.0,77.0
91,79.12821746875001,79.33256524375001,81.0,77.0
92,79.12930442500002,79.3336522,69.0,77.0
93,79.38908696875001,79.57604344375001,79.0,77.0
94,79.390173925,79.57713040000002,67.0,77.0
95,79.64995646875,81.22890146875001,77.0,75.0
96,79.65105295833334,81.22999795833334,65.0,75.0
