,time,beat_start,beat1,beat2,beat_index,mel_start,mel_end,mel_pitch,mel_velocity,mel_index,bri_start,bri_end,bri_pitch,bri_velocity,bri_index,pia_start,pia_end,pia_pitch,pia_velocity,pia_index,chord_start,chord_end,chord,chord_index
0,0.1362178124999999,,,,,,,,,,0.1362178124999999,0.5048071875,67.0,96.0,0.0,,,,,,,,,
1,0.5048071875,,,,,,,,,,0.1362178124999999,0.5048071875,67.0,96.0,0.0,,,,,,,,,
2,0.5207687099999999,0.5207687099999999,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,0.520769,0.5207687099999999,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.520769,2.059229,Ab:maj,0.0
4,0.5208328124999999,0.5207687099999999,1.0,0.0,0.0,,,,,,0.5208328124999999,2.0849338125,72.0,112.0,1.0,0.5208328124999999,1.881408375,44.0,86.0,0.0,0.520769,2.059229,Ab:maj,0.0
5,0.9054478125,0.5207687099999999,1.0,0.0,0.0,,,,,,0.5208328124999999,2.0849338125,72.0,112.0,1.0,0.9054478125,2.0208313125,56.0,82.0,1.0,0.520769,2.059229,Ab:maj,0.0
6,1.2899987099999997,1.2899987099999997,0.0,0.0,1.0,,,,,,0.5208328124999999,2.0849338125,72.0,112.0,1.0,0.9054478125,2.0208313125,56.0,82.0,1.0,0.520769,2.059229,Ab:maj,0.0
7,1.2900628124999998,1.2899987099999997,0.0,0.0,1.0,,,,,,0.5208328124999999,2.0849338125,72.0,112.0,1.0,1.2900628124999998,2.1618568125,60.0,76.0,2.0,0.520769,2.059229,Ab:maj,0.0
8,1.6746778125,1.2899987099999997,0.0,0.0,1.0,,,,,,0.5208328124999999,2.0849338125,72.0,112.0,1.0,1.6746778125,2.05769025,63.0,56.0,3.0,0.520769,2.059229,Ab:maj,0.0
9,1.881408375,1.2899987099999997,0.0,0.0,1.0,,,,,,0.5208328124999999,2.0849338125,72.0,112.0,1.0,1.6746778125,2.05769025,63.0,56.0,3.0,0.520769,2.059229,Ab:maj,0.0
10,2.0208313125,1.2899987099999997,0.0,0.0,1.0,,,,,,0.5208328124999999,2.0849338125,72.0,112.0,1.0,1.6746778125,2.05769025,63.0,56.0,3.0,0.520769,2.059229,Ab:maj,0.0
11,2.05769025,1.2899987099999997,0.0,0.0,1.0,,,,,,0.5208328124999999,2.0849338125,72.0,112.0,1.0,1.6746778125,2.05769025,63.0,56.0,3.0,0.520769,2.059229,Ab:maj,0.0
