,beat,chord,chord_end
0,0.8951613500000001,N,1.862903
1,1.8629033500000003,N,2.830645
2,2.83064535,N,3.798387
3,3.798387350000001,N,4.766129
4,4.766129350000001,N,5.733871
5,5.73387135,N,6.701613
6,6.701613350000001,D:maj,10.572581
7,7.669355350000001,,
8,8.637097350000001,,
9,9.60483935,,
10,10.572581350000002,F#:min,14.443549
11,11.54032335,,
12,12.50806535,,
13,13.475807350000002,,
14,14.44354935,G:maj,18.314517
15,15.41129135,,
16,16.37903335,,
17,17.34677535,,
18,18.314517350000003,A:maj,22.185485
19,19.28225935,,
20,20.25000135,,
21,21.217743350000003,,
22,22.185485350000004,D:maj,26.056453
23,23.15322735,,
24,24.120969350000003,,
25,25.088711350000004,,
26,26.05645335,F#:min,29.927421
27,27.024195350000003,,
28,27.991937350000004,,
29,28.95967935,,
30,29.927421350000003,G:maj,31.862905
31,30.895163350000004,,
32,31.86290535,A:maj,33.798389
33,32.83064735,,
34,33.79838935,D:maj,37.669357
35,34.76613135,,
36,35.73387335,,
37,36.70161535,,
38,37.669357350000006,D:maj,41.540325
39,38.63709935000001,,
40,39.60484135,,
41,40.57258335,,
42,41.54032535,F#:maj,45.411293
43,42.508067350000005,,
44,43.475809350000006,,
45,44.44355135000001,,
46,45.41129335000001,G:maj,49.282261
47,46.37903535,,
48,47.34677735,,
49,48.314519350000005,,
50,49.282261350000006,A:maj,53.153229
51,50.25000335000001,,
52,51.21774535000001,,
53,52.18548735,,
54,53.15322935,D:maj,57.024197
55,54.120971350000005,,
56,55.088713350000006,,
57,56.05645535000001,,
58,57.02419735000001,F#:min,60.895165
59,57.99193935,,
60,58.95968135,,
61,59.927423350000005,,
62,60.895165350000006,G:maj,64.766133
63,61.86290735000001,,
64,62.83064935000001,,
65,63.79839135000001,,
66,64.76613335,A:maj,68.637101
67,65.73387535,,
68,66.70161735,,
69,67.66935935000001,,
70,68.63710135000001,B:min,70.572585
71,69.60484335000001,,
72,70.57258535000001,F#:maj,72.508069
73,71.54032735000001,,
74,72.50806935000001,G:maj,74.443553
75,73.47581135,,
76,74.44355335,D:maj,76.379037
77,75.41129535,,
78,76.37903735,E:min,78.314521
79,77.34677935,,
80,78.31452135,A:maj,80.250005
81,79.28226335000001,,
82,80.25000535000001,D:maj,82.185489
83,81.21774735000001,,
84,82.18548935000001,D:7,84.120973
85,83.15323135000001,,
86,84.12097335000001,B:min,86.056457
87,85.08871535000002,,
88,86.05645735,F#:maj,87.991941
89,87.02419935,,
90,87.99194135,G:maj,89.927425
91,88.95968335,,
92,89.92742535000001,D:maj,91.862909
93,90.89516735,,
94,91.86290935,E:min,93.798393
95,92.83065135,,
96,93.79839335,A:maj,95.733877
97,94.76613535,,
98,95.73387735,D:maj,99.604845
99,96.70161935000002,,
100,97.66936135000002,,
101,98.63710335,,
102,99.60484535,D:maj,103.475813
103,100.57258735,,
104,101.54032935,,
105,102.50807135,,
106,103.47581335,F#:min,107.346781
107,104.44355535,,
108,105.41129735,,
109,106.37903935,,
110,107.34678135,G:maj,109.282265
111,108.31452335000002,,
112,109.28226535000002,A:maj,111.217749
113,110.25000735000002,,
114,111.21774935,D:maj,115.088717
115,112.18549135,,
116,113.15323335,,
117,114.12097535,,
118,115.08871735,B:min,118.959685
119,116.05645935,,
120,117.02420135,,
121,117.99194335,,
122,118.95968535000002,F#:min,122.830653
123,119.92742735000002,,
124,120.89516935000002,,
125,121.86291135000002,,
126,122.83065335000002,G:maj,124.766137
127,123.79839535,,
128,124.76613735000002,A:maj,126.701621
129,125.73387935000002,,
130,126.70162135000002,D:maj,130.572589
131,127.66936335000004,,
132,128.63710535000004,,
133,129.60484735000003,,
134,130.57258935000002,D:maj,134.443557
135,131.54033135000003,,
136,132.50807335000002,,
137,133.47581535,,
138,134.44355735000002,F#:min,138.314525
139,135.41129935,,
140,136.37904135000002,,
141,137.34678335,,
142,138.31452535000005,G:maj,142.185493
143,139.28226735,,
144,140.25000935000003,,
145,141.21775135,,
146,142.18549335,A:maj,146.056461
147,143.15323535000002,,
148,144.12097735,,
149,145.08871935000002,,
150,146.05646135,D:maj,149.927429
151,147.02420335000002,,
152,147.99194535,,
153,148.95968735000002,,
154,149.92742935,F#:min,153.798397
155,150.89517135000003,,
156,151.86291335,,
157,152.83065535000003,,
158,153.79839735000002,G:maj,155.733881
159,154.76613935,,
160,155.73388135000002,A:maj,157.669365
161,156.70162335,,
162,157.66936535000002,D:maj,161.540333
163,158.63710735,,
164,159.60484935000002,,
165,160.57259135,,
166,161.54033335000003,D:maj,165.411301
167,162.50807535,,
168,163.47581735000003,,
169,164.44355935000002,,
170,165.41130135000003,F#:maj,169.282269
171,166.37904335000002,,
172,167.34678535,,
173,168.31452735000002,,
174,169.28226935,G:maj,173.153237
175,170.25001135000002,,
176,171.21775335,,
177,172.18549535000002,,
178,173.15323735,A:maj,177.024205
179,174.12097935000003,,
180,175.08872135,,
181,176.05646335000003,,
182,177.02420535000002,D:maj,180.895173
183,177.99194735000003,,
184,178.95968935000002,,
185,179.92743135,,
186,180.89517335,F#:min,184.766141
187,181.86291535,,
188,182.83065735,,
189,183.79839935,,
190,184.76614135000003,G:maj,188.637109
191,185.73388335,,
192,186.70162535000003,,
193,187.66936735,,
194,188.63710935000003,A:maj,192.508077
195,189.60485135,,
196,190.57259335000003,,
197,191.54033535,,
198,192.50807735,B:min,194.443561
199,193.47581935,,
200,194.44356135,F#:maj,196.379045
201,195.41130335000005,,
202,196.37904535,G:maj,198.314529
203,197.34678735000003,,
204,198.31452935,D:maj,200.250013
205,199.28227135000003,,
206,200.25001335,E:min,202.185497
207,201.21775535000003,,
208,202.18549735,A:maj,204.120981
209,203.15323935000004,,
210,204.12098135,D:maj,206.056465
211,205.08872335,,
212,206.05646535,D:7,207.991949
213,207.02420735,,
214,207.99194935000003,B:min,209.927433
215,208.95969135,,
216,209.92743335000003,F#:maj,211.862917
217,210.89517535,,
218,211.86291735000003,G:maj,213.798401
219,212.83065935,,
220,213.79840135000003,D:maj,215.733885
221,214.76614335,,
222,215.73388535,E:min,217.669369
223,216.70162735,,
224,217.66936935,A:maj,219.604853
225,218.63711135000003,,
226,219.60485335,D:maj,223.475821
227,220.57259535000003,,
228,221.54033735,,
229,222.50807935000003,,
230,223.47582135,D:maj,227.346789
231,224.44356335000003,,
232,225.41130535,,
233,226.37904735000004,,
234,227.34678935,F#:min,231.217757
235,228.31453135,,
236,229.28227335000005,,
237,230.25001535,,
238,231.21775735000003,G:maj,233.153241
239,232.18549935,,
240,233.15324135000003,A:maj,235.088725
241,234.12098335,,
242,235.08872535000003,D:maj,238.959693
243,236.05646735,,
244,237.02420935000004,,
245,237.99195135,,
246,238.95969335000004,B:min,242.830661
247,239.92743535,,
248,240.89517735,,
249,241.86291935000003,,
250,242.83066135,F#:min,246.701629
251,243.79840335000003,,
252,244.76614535,,
253,245.73388735000003,,
254,246.70162935,G:maj,248.637113
255,247.66937135000003,,
256,248.63711335,A:maj,250.572597
257,249.60485535000004,,
258,250.57259735,D:maj,254.443565
259,251.54033935000004,,
260,252.50808135000003,,
261,253.47582335,,
262,254.44356535000003,B:min,258.314533
263,255.41130735,,
264,256.37904935,,
265,257.34679135000005,,
266,258.31453335000003,F#:min,262.185501
267,259.28227535,,
268,260.25001735,,
269,261.21775935000005,,
270,262.18550135000004,G:maj,264.120985
271,263.15324335,,
272,264.12098535,A:maj,266.056469
273,265.08872735000006,,
274,266.05646935000004,D:maj,269.927437
275,267.02421135000003,,
276,267.99195335,,
277,268.95969535,,
278,269.92743735000005,D:maj/5,273.798405
279,270.89517935000003,,
280,271.86292135,,
281,272.83066335,,
282,273.79840535000005,F#:min,277.669373
283,274.76614735000004,,
284,275.73388935,,
285,276.70163135,,
286,277.66937335,G:maj,281.540341
287,278.63711535000004,,
288,279.60485735000003,,
289,280.57259935,,
290,281.54034135,A:maj,285.411309
291,282.50808335000005,,
292,283.47582535000004,,
293,284.44356735,,
294,285.41130935,D:maj,289.282277
295,286.37905135000005,,
296,287.34679335000004,,
297,288.31453535,,
298,289.28227735,F#:min,293.153245
299,290.25001935,,
300,291.21776135000005,,
301,292.18550335000003,,
302,293.15324535,G:maj,295.088729
303,294.12098735,,
304,295.08872935000005,A:maj,297.024213
305,296.05647135000004,,
306,297.02421335,D:maj,300.895181
307,297.99195535,,
308,298.95969735000006,,
309,299.92743935000004,,
310,300.89518135000003,D:maj,302.830665
311,301.86292335,,
312,302.83066535,D:maj,306.7016330000001
313,303.79840735000005,,
314,304.76614935000003,,
315,305.73389135,,
