,beat,chord,chord_end
0,0.2712,N,0.8712
1,0.8712000000000001,Bb:maj/5,3.2712
2,1.4712,,
3,2.0712,,
4,2.6712,,
5,3.2712,D:maj/5,4.4712
6,3.8712,,
7,4.4712,G:min,5.6712
8,5.0712,,
9,5.6712,Bb:maj/5,8.0712
10,6.2712,,
11,6.8712,,
12,7.4712,,
13,8.0712,F:maj,9.2712
14,8.6712,,
15,9.2712,Bb:maj,10.4712
16,9.871199999999998,,
17,10.4712,Bb:maj/5,12.8712
18,11.0712,,
19,11.6712,,
20,12.2712,,
21,12.871199999999998,Bb:maj/5,15.2712
22,13.4712,,
23,14.0712,,
24,14.6712,,
25,15.2712,Bb:maj/5,16.4712
26,15.871199999999998,,
27,16.4712,F:maj,17.6712
28,17.071199999999997,,
29,17.6712,F:maj,20.0712
30,18.2712,,
31,18.8712,,
32,19.4712,,
33,20.0712,Bb:maj/5,22.4712
34,20.6712,,
35,21.2712,,
36,21.8712,,
37,22.4712,Bb:maj/5,24.8712
38,23.0712,,
39,23.6712,,
40,24.2712,,
41,24.8712,C:min/5,26.0712
42,25.4712,,
43,26.0712,F:maj,27.2712
44,26.6712,,
45,27.2712,Bb:maj/5,29.6712
46,27.8712,,
47,28.4712,,
48,29.0712,,
49,29.6712,Bb:maj/5,30.8712
50,30.2712,,
51,30.8712,G:min,32.0712
52,31.4712,,
53,32.0712,F:maj,34.4712
54,32.6712,,
55,33.2712,,
56,33.8712,,
57,34.4712,G:min,36.8712
58,35.0712,,
59,35.6712,,
60,36.2712,,
61,36.8712,Eb:maj,38.0712
62,37.4712,,
63,38.0712,F:maj,39.2712
64,38.6712,,
65,39.2712,Bb:maj/5,41.6712
66,39.8712,,
67,40.4712,,
68,41.0712,,
69,41.6712,D:maj,42.8712
70,42.2712,,
71,42.8712,G:min,44.0712
72,43.4712,,
73,44.0712,Bb:maj/5,45.2712
74,44.6712,,
75,45.2712,G:min,45.8712
76,45.8712,F:maj,46.4712
77,46.4712,F:maj,47.6712
78,47.0712,,
79,47.6712,Bb:maj/5,48.8712
80,48.2712,,
81,48.8712,Bb:maj/5,50.0712
82,49.4712,,
83,50.0712,G:min,50.6712
84,50.6712,F:maj,51.2712
85,51.2712,F:maj,52.4712
86,51.8712,,
87,52.4712,Bb:maj/5,53.6712
88,53.0712,,
89,53.6712,Bb:maj/5,56.0712
90,54.2712,,
91,54.8712,,
92,55.4712,,
93,56.0712,D:maj/5,57.2712
94,56.6712,,
95,57.2712,G:min,58.4712
96,57.8712,,
97,58.4712,Bb:maj/5,60.8712
98,59.0712,,
99,59.6712,,
100,60.2712,,
101,60.8712,F:maj,62.0712
102,61.4712,,
103,62.0712,Bb:maj,63.2712
104,62.6712,,
105,63.2712,Bb:maj/5,65.6712
106,63.8712,,
107,64.4712,,
108,65.0712,,
109,65.6712,Bb:maj/5,68.0712
110,66.2712,,
111,66.8712,,
112,67.4712,,
113,68.0712,Bb:maj/5,69.2712
114,68.6712,,
115,69.2712,F:maj,70.4712
116,69.8712,,
117,70.4712,F:maj,72.8712
118,71.0712,,
119,71.6712,,
120,72.2712,,
121,72.8712,Bb:maj/5,75.2712
122,73.4712,,
123,74.0712,,
124,74.6712,,
125,75.2712,Bb:maj/5,77.6712
126,75.8712,,
127,76.4712,,
128,77.0712,,
129,77.6712,C:min/5,78.8712
130,78.2712,,
131,78.8712,F:maj,80.0712
132,79.4712,,
133,80.0712,Bb:maj/5,82.4712
134,80.6712,,
135,81.2712,,
136,81.8712,,
137,82.4712,Bb:maj/5,83.6712
138,83.07119999999999,,
139,83.67119999999998,G:min,84.8712
140,84.2712,,
141,84.87119999999999,F:maj,87.2712
142,85.4712,,
143,86.07119999999999,,
144,86.67119999999998,,
145,87.2712,G:min,89.6712
146,87.87119999999999,,
147,88.4712,,
148,89.07119999999999,,
149,89.67119999999998,Eb:maj,90.8712
150,90.2712,,
151,90.8712,F:maj,92.0712
152,91.4712,,
153,92.0712,Bb:maj/5,94.4712
154,92.67119999999998,,
155,93.2712,,
156,93.8712,,
157,94.4712,D:maj,95.6712
158,95.0712,,
159,95.67119999999998,G:min,96.8712
160,96.2712,,
161,96.8712,Bb:maj/5,98.0712
162,97.4712,,
163,98.0712,G:min,98.6712
164,98.67119999999998,F:maj,99.2712
165,99.2712,F:maj,100.4712
166,99.8712,,
167,100.4712,Bb:maj/5,101.6712
168,101.0712,,
169,101.67119999999998,Bb:maj/5,102.8712
170,102.2712,,
171,102.8712,G:min,103.4712
172,103.4712,F:maj,104.0712
173,104.0712,F:maj,105.2712
174,104.67119999999998,,
175,105.2712,Bb:maj/5,106.4712
176,105.8712,,
177,106.4712,F:maj,107.6712
178,107.0712,,
179,107.67119999999998,Bb:maj,108.8712
180,108.2712,,
181,108.8712,Bb:maj,110.6712
182,109.4712,,
183,110.0712,,
